probe,coef_verify,significant,null
ENSG00000161010,-0.297667993153679,Yes,FALSE
ENSG00000183486,-0.46562897985741697,Yes,FALSE
ENSG00000130985,-0.20243008433386459,Yes,FALSE
ENSG00000116299,-0.8684591868870774,Yes,FALSE
ENSG00000136522,0.33224184598318274,Yes,FALSE
ENSG00000165704,0.35311476296988953,Yes,FALSE
ENSG00000181744,0.44790604485422797,Yes,FALSE
ENSG00000183317,-1.1110691123747967,Yes,FALSE
ENSG00000169714,0.21890353316301459,Yes,FALSE
ENSG00000129562,0.18772700273135504,Yes,FALSE
ENSG00000173960,0.2260165561786981,Yes,FALSE
ENSG00000163430,0.39533671502548,Yes,FALSE
ENSG00000064393,0.31707364225798734,Yes,FALSE
ENSG00000028839,0.2802638992043662,Yes,FALSE
ENSG00000139514,0.36587938926367836,Yes,FALSE
ENSG00000198804,-0.28669981754632073,Yes,FALSE
ENSG00000062524,-0.8472104319164143,Yes,FALSE
ENSG00000090382,-0.6138934929924647,Yes,FALSE
ENSG00000183576,0.17584933490735674,Yes,FALSE
ENSG00000123374,0.25078141279598354,Yes,FALSE
ENSG00000226015,-0.42196656296240886,Yes,FALSE
ENSG00000240038,-0.516791326383252,Yes,FALSE
ENSG00000159399,0.5078283939394976,Yes,FALSE
ENSG00000235531,0.4587785362606175,Yes,FALSE
ENSG00000136147,-0.2327092697525556,Yes,FALSE
ENSG00000172478,-0.8561527223073869,Yes,FALSE
ENSG00000227507,-0.6515191323044889,Yes,FALSE
ENSG00000115963,0.5591754821416811,Yes,FALSE
ENSG00000160255,-0.46695642548968086,Yes,FALSE
ENSG00000146067,-0.328999020509561,Yes,FALSE
ENSG00000188761,-1.0666962539596652,Yes,FALSE
ENSG00000205060,0.2129074747109063,Yes,FALSE
ENSG00000105245,0.39155789904072874,Yes,FALSE
ENSG00000162694,0.2659153391503737,Yes,FALSE
ENSG00000169220,-0.43692652691786343,Yes,FALSE
ENSG00000186522,0.2816858677104548,Yes,FALSE
ENSG00000147604,0.3109572323074173,Yes,FALSE
ENSG00000182899,0.2539817748151459,Yes,FALSE
ENSG00000132570,-0.2604421665388043,Yes,FALSE
ENSG00000177034,-0.22320588004271644,Yes,FALSE
ENSG00000063046,0.17673382641102098,Yes,FALSE
ENSG00000115484,0.24369504765925215,Yes,FALSE
ENSG00000187109,0.16664849394273834,Yes,FALSE
ENSG00000141738,-0.43175276755654834,Yes,FALSE
ENSG00000139173,0.542408303765799,Yes,FALSE
ENSG00000257671,-0.8615836429278969,Yes,FALSE
ENSG00000204839,-0.7267127170453589,Yes,FALSE
ENSG00000165732,0.21424949652125197,Yes,FALSE
ENSG00000127419,-0.3611329962270044,Yes,FALSE
ENSG00000163785,0.2513891282523402,Yes,FALSE
ENSG00000265298,-0.3614739941788919,Yes,FALSE
ENSG00000124664,-1.1792153716135263,Yes,FALSE
ENSG00000140534,0.6420806366931089,Yes,FALSE
ENSG00000064102,0.2993319964224349,Yes,FALSE
ENSG00000163536,0.4717073222957919,Yes,FALSE
ENSG00000066697,0.255034629603275,Yes,FALSE
ENSG00000100526,0.5583968993740697,Yes,FALSE
ENSG00000155368,0.2411037394662497,Yes,FALSE
ENSG00000111845,0.23903419821830768,Yes,FALSE
ENSG00000116754,-0.18138680797865073,Yes,FALSE
ENSG00000112210,0.2561727275443921,Yes,FALSE
ENSG00000105707,-0.916539116415545,Yes,FALSE
ENSG00000124920,-0.6565191227888216,Yes,FALSE
ENSG00000145439,-0.2610642226337356,Yes,FALSE
ENSG00000141968,-0.3613368451959731,Yes,FALSE
ENSG00000100591,0.21629863074218433,Yes,FALSE
ENSG00000160190,-0.3709826073490542,Yes,FALSE
ENSG00000142973,-1.1385276238317996,Yes,FALSE
ENSG00000093009,0.6067178977342623,Yes,FALSE
ENSG00000050405,0.3191135010226472,Yes,FALSE
ENSG00000159140,-0.14032921445986926,Yes,FALSE
ENSG00000166140,-0.2680758489921053,Yes,FALSE
ENSG00000206075,1.7640279668708947,Yes,FALSE
ENSG00000185986,-0.5259569150081047,Yes,FALSE
ENSG00000070214,0.21433875258570345,Yes,FALSE
ENSG00000170515,0.19541280631522812,Yes,FALSE
ENSG00000166451,0.36813568548331854,Yes,FALSE
ENSG00000115310,0.22734018426815691,Yes,FALSE
ENSG00000110958,0.19884667626084687,Yes,FALSE
ENSG00000211455,0.2756345944959632,Yes,FALSE
ENSG00000175567,-0.387228854709128,Yes,FALSE
ENSG00000176087,-0.18177248255362646,Yes,FALSE
ENSG00000106258,-0.8668605366917747,Yes,FALSE
ENSG00000151376,-0.4360180152673665,Yes,FALSE
ENSG00000105643,-0.27548272702274446,Yes,FALSE
ENSG00000099194,0.5065426499003558,Yes,FALSE
ENSG00000151498,-0.4126169494346402,Yes,FALSE
ENSG00000176903,0.24952785189308793,Yes,FALSE
ENSG00000114023,0.41995558362456165,Yes,FALSE
ENSG00000174444,0.19045283845665958,Yes,FALSE
ENSG00000151135,0.22854265904875207,Yes,FALSE
ENSG00000188811,-0.1895904037921546,Yes,FALSE
ENSG00000088986,0.19293846939532702,Yes,FALSE
ENSG00000103051,-0.17884103746517507,Yes,FALSE
ENSG00000204525,-0.319257392651975,Yes,FALSE
ENSG00000186591,0.21570978564756188,Yes,FALSE
ENSG00000175970,0.2665797106828239,Yes,FALSE
ENSG00000121297,0.3854280096262078,Yes,FALSE
ENSG00000171161,-0.221365828914021,Yes,FALSE
ENSG00000143850,-0.7166191003508385,Yes,FALSE
ENSG00000134901,0.3434750624253444,Yes,FALSE
ENSG00000238105,-0.42325386457503666,Yes,FALSE
ENSG00000128791,0.21822007328985996,Yes,FALSE
ENSG00000181472,0.15468475760789907,Yes,FALSE
ENSG00000137876,0.1986778866592809,Yes,FALSE
ENSG00000058272,0.17562213492675582,Yes,FALSE
ENSG00000197111,0.15093194693249268,Yes,FALSE
ENSG00000170779,0.4255032359046495,Yes,FALSE
ENSG00000105323,0.1565714281052821,Yes,FALSE
ENSG00000133935,0.2326982213873345,Yes,FALSE
ENSG00000133641,0.19845362348398987,Yes,FALSE
ENSG00000129559,0.18971926739393527,Yes,FALSE
ENSG00000131037,-0.5014737862795234,Yes,FALSE
ENSG00000004478,0.35767247660389434,Yes,FALSE
ENSG00000160695,-0.1713875298567538,Yes,FALSE
ENSG00000067836,-0.3185813145592729,Yes,FALSE
ENSG00000215018,-0.82000129237973,Yes,FALSE
ENSG00000119487,0.16539057521988082,Yes,FALSE
ENSG00000066136,-0.1842811599771456,Yes,FALSE
ENSG00000075188,0.23164145229138322,Yes,FALSE
ENSG00000176142,0.19084307873148232,Yes,FALSE
ENSG00000181513,-0.342012762112657,Yes,FALSE
ENSG00000113240,-0.2648320728622994,Yes,FALSE
ENSG00000139921,0.23579984643683866,Yes,FALSE
ENSG00000204642,-0.4309933180967577,Yes,FALSE
ENSG00000121964,0.1990614022468115,Yes,FALSE
ENSG00000052802,0.345783153784953,Yes,FALSE
ENSG00000087074,0.3331412696480658,Yes,FALSE
ENSG00000163655,0.29210908174632755,Yes,FALSE
ENSG00000205420,2.264417452800004,Yes,FALSE
ENSG00000059804,0.45091584189587536,Yes,FALSE
ENSG00000181631,-0.4721387204265152,Yes,FALSE
ENSG00000130164,0.43063952291874186,Yes,FALSE
ENSG00000145220,0.2542849211473192,Yes,FALSE
ENSG00000185480,0.43621098852760776,Yes,FALSE
ENSG00000163950,0.20661175253445274,Yes,FALSE
ENSG00000214176,-0.317111991007629,Yes,FALSE
ENSG00000134108,0.18008218838956547,Yes,FALSE
ENSG00000170190,-0.5022050010939464,Yes,FALSE
ENSG00000112312,0.3474701202554434,Yes,FALSE
ENSG00000164342,-0.4465641882442734,Yes,FALSE
ENSG00000105438,0.19691974110852237,Yes,FALSE
ENSG00000230590,-0.2532474874802384,Yes,FALSE
ENSG00000243317,0.23194003797747223,Yes,FALSE
ENSG00000169592,-0.27482190150385855,Yes,FALSE
ENSG00000151748,0.22555091265391977,Yes,FALSE
ENSG00000110195,-1.1395971815391397,Yes,FALSE
ENSG00000139926,0.5278424836715668,Yes,FALSE
ENSG00000112658,0.21580297754196032,Yes,FALSE
ENSG00000108187,-0.4195619031047068,Yes,FALSE
ENSG00000139266,-0.2835040537091457,Yes,FALSE
ENSG00000135905,-0.3530257837569821,Yes,FALSE
ENSG00000152952,0.526264491026358,Yes,FALSE
ENSG00000128815,-0.43847165222126017,Yes,FALSE
ENSG00000157184,-0.20774102095664354,Yes,FALSE
ENSG00000197102,0.1782492398656822,Yes,FALSE
ENSG00000213186,0.36637365868139715,Yes,FALSE
ENSG00000103404,0.3838818601368042,Yes,FALSE
ENSG00000167685,-0.3042707369301962,Yes,FALSE
ENSG00000169213,1.018934409595021,Yes,FALSE
ENSG00000213676,-0.23991720785835494,Yes,FALSE
ENSG00000124813,0.4104261749139606,Yes,FALSE
ENSG00000103460,-1.3063034242679743,Yes,FALSE
ENSG00000112339,0.19404651517099808,Yes,FALSE
ENSG00000158125,-0.8476994008698512,Yes,FALSE
ENSG00000159214,-0.387322237948243,Yes,FALSE
ENSG00000183718,-0.25793186228082987,Yes,FALSE
ENSG00000182108,-0.32888645317480625,Yes,FALSE
ENSG00000165480,0.48685454389135135,Yes,FALSE
ENSG00000103067,-0.3774084414132038,Yes,FALSE
ENSG00000137807,0.5096712867952526,Yes,FALSE
ENSG00000174567,-0.9594617459587623,Yes,FALSE
ENSG00000109189,0.26845221478517434,Yes,FALSE
ENSG00000111684,0.25303162407886065,Yes,FALSE
ENSG00000019102,-0.8003702574213849,Yes,FALSE
ENSG00000067191,-0.4411996336526719,Yes,FALSE
ENSG00000145348,-0.19342393184159898,Yes,FALSE
ENSG00000099849,-0.5986317005069222,Yes,FALSE
ENSG00000196295,-0.2782005801750127,Yes,FALSE
ENSG00000115091,0.19505030945619278,Yes,FALSE
ENSG00000124508,-0.260620602196438,Yes,FALSE
ENSG00000153292,-1.108416643225328,Yes,FALSE
ENSG00000111206,0.5776100169738166,Yes,FALSE
